job_title,AI_job
Head of Data,False
Data Scientist,False
Engineer,False
AI Product Lead,True
AI Engineer,True
Business Intelligence Engineer,False
Manager,False
Computer Vision Engineer,True
Data Management,False
Product Manager,False
Data Engineer,False
Machine Learning Engineer,True
Software Engineer,False
Data Analyst,False
Research Scientist,False
Developer,False
Associate,False
Computational Scientist,False
Analyst,False
AI Scientist,True
DataOps Engineer,False
Prompt Engineer,True
Data Governance Engineer,False
Analytics Engineer,False
AI Governance Specialist,True
Backend Engineer,False
DevOps Engineer,False
Systems Engineer,False
Tech Lead,False
Solutions Engineer,False
Product Analyst,False
Researcher,False
Executive,False
Director,False
Consultant,False
Solutions Architect,False
Data Reporting Specialist,False
BI Developer,False
Data Manager,False
Machine Learning Scientist,True
Data Governance,False
Applied Scientist,False
Data Architect,False
Statistical Programmer,False
Data Specialist,False
Technical Architect,False
Cloud Engineer,False
Business Intelligence Analyst,False
Architect,False
Automation Engineer,False
Engineering Manager,False
Site Reliability Engineer,False
Data Strategist,False
Cloud Database Administrator,False
Data Product Manager,False
MLOps Engineer,True
Platform Engineer,False
Data Management Analyst,False
Principal Engineer,False
Full Stack Engineer,False
Principal Scientist,False
Business Intelligence Specialist,False
Staff Engineer,False
Full Stack Developer,False
Security Researcher,False
AI Solutions Consultant,True
AI Developer,True
Data Modeler,False
Data Analysis,False
Technical Writer,False
Account Executive,False
Research Engineer,False
Solution Architect,False
QA Engineer,False
Economist,False
Quantitative Analyst,False
Quantitative Developer,False
Analytics Manager,False
Backend Developer,False
Data Governance Lead,False
Data Governance Analyst,False
AI Specialist,True
Lead Engineer,False
Database Administrator,False
Software Developer,False
System Engineer,False
Software Development Engineer,False
Data Developer,False
Data Lead,False
Software Architect,False
Analytics Lead,False
Statistician,False
Forward Deployed Engineer,False
Algorithm Developer,True
Integration Specialist,False
Actuary,False
Member of Technical Staff,False
Technical Project Manager,False
Head of AI,True
Power BI Developer,False
Product Designer,False
Data Infrastructure Engineer,False
Technical Lead,False
Postdoctoral Fellow,False
ETL Developer,False
Data Operations Analyst,False
Data Integration Engineer,False
AI Product Owner,True
Python Developer,False
Business Analyst,False
Data Governance Specialist,False
Data Product Owner,False
Machine Learning Architect,True
Post Doctoral Fellow,False
Technical Support Engineer,False
ML Scientist,True
Cloud Database Engineer,False
Data Platform Engineer,False
Data Management Specialist,False
Computational Biologist,False
Business Intelligence,False
Sales Engineer,False
Director of Data,False
Research Associate,False
Solution Engineer,False
Data Analytics Manager,False
Data Analytics Specialist,False
Power BI,False
Apprentice,False
BI Engineer,False
Analytics Specialist,False
Principal Statistical Programmer,False
Data Operations Specialist,False
Product Owner,False
Commercial Counsel,False
Quantitative Researcher,False
Data Quality Analyst,False
Research Fellow,False
Software Development Director,False
Data Integration Lead,False
Data Governance Manager,False
AI Architect,True
AI Researcher,True
Business Intelligence Developer,False
Data Quality Specialist,False
AI Solutions Lead,True
BI Analyst,False
Business Development Representative,False
Bioinformatician,False
Artificial Intelligence Engineer,True
Data Visualization Designer,False
Data Operations Engineer,False
Research Specialist,False
Head of Machine Learning,True
Decision Scientist,False
Data Management Lead,False
Solution Specialist,False
Data Operations,False
Lead Data Analysis,False
Data Archivist,False
Director of Artificial Intelligence,True
Data Quality Engineer,False
Data Operations Manager,False
Machine Learning Developer,True
Principal Researcher,False
AI Product Specialist,True
Insight Analyst,False
Data Team Lead,False
Data Operations Lead,False
Machine Learning Researcher,True
