ROW_ID,JOB_TITLE,SOC_CODE,SOC_TITLE,WORKSITE_STATE,NAICS_CODE,FULL_TIME_POSITION,TOTAL_WORKER_POSITIONS,PREVAILING_WAGE,estimated_salary_in_usd,IS_AI
835866,AI & MACHINE LEARNING,15-1252.00,Software Developers,UT,541511,Y,1,144955.0,132000.0,True
159259,Postdoc Research Associate - Quantum Computational Science,15-1221.00,Computer and Information Research Scientists,TN,54171,Y,1,76856.0,92000.0,False
848956,Postdoctoral Scholar Employee,15-1221.00,Computer and Information Research Scientists,CA,611310,Y,1,66868.0,78000.0,False
614249,Senior Data Science & ML Architect,15-2051.00,Data Scientists,NJ,458110,Y,1,163238.0,192000.0,True
319977,"Senior Business Analyst, Data Product",15-2051.00,Data Scientists,NY,45411,Y,1,80850.0,148000.0,False
441179,"Vice President, Applied Research Lead",15-1221.00,Computer and Information Research Scientists,NY,551112,Y,1,155958.0,245000.0,False
46698,Digital E-Commerce Operations Manager ,15-1299.09,Information Technology Project Managers,TX,451110,Y,1,117666.0,118000.0,False
217449,Sr. Engineer SRE,15-1252.00,Software Developers,MA,311813,Y,1,135304.0,158000.0,False
2130,Senior Product Manager - Analyst,15-2051.01,Business Intelligence Analysts,WA,54199,Y,1,110864.0,152000.0,False
778185,"Sr. Director, IT, AI Services",11-3021.00,Computer and Information Systems Managers,CA,33911,Y,1,213325.0,245000.0,True
557081,Software Engineer,15-1252.00,Software Developers,CO,334220,Y,1,95313.0,132000.0,False
143145,Research Scientist,15-2021.00,Mathematicians,CA,541512,Y,1,99923.0,132000.0,False
829262,"Staff Engineer, AI/ML Software Compiler",15-1252.00,Software Developers,CA,423690,Y,10,219276.0,265000.0,True
396221,Artificial Intelligence Resident- 1,15-1221.00,Computer and Information Research Scientists,TX,2111,Y,1,116917.0,132000.0,True
19878,Data Scientist Generative AI,15-2051.00,Data Scientists,MO,541714,Y,1,104312.0,142000.0,True
486208,Verification & Validation Engineer,17-2072.00,"Electronics Engineers, Except Computer",MA,541519,Y,1,117642.0,112000.0,False
119446,"Senior Product Manager, Edge AI and IoT Connectors",15-1299.00,"Computer Occupations, All Other",CA,334413,Y,1,181813.0,205000.0,True
877349,CONTROLS ENGINEER,17-2199.08,Robotics Engineers,CA,333111,Y,1,134077.0,132000.0,False
387593,Quantitative Researcher,15-2021.00,Mathematicians,NY,523940,Y,1,143458.0,210000.0,False
250120,Database Engineer III,15-1242.00,Database Administrators,WA,45411,Y,10,117250.0,142000.0,False
367019,Manufacturing Engineer,17-2112.03,Manufacturing Engineers,CA,336612,Y,1,94349.0,104000.0,False
104148,Engineer,15-1252.00,Software Developers,AL,518210,Y,1,82306.0,112000.0,False
456641,Machine Learning Engineer,15-2051.00,Data Scientists,VA,621330,Y,1,74984.0,132000.0,True
557829,Data Analytics Manager,15-2041.00,Statisticians,CA,516210,Y,1,127150.0,168000.0,False
525253,Quantitative Analyst,13-2099.01,Financial Quantitative Analysts,NC,523120,Y,1,74277.0,135000.0,False
54745,Software Development Engineer III,15-1252.00,Software Developers,NY,45411,Y,10,142563.0,165000.0,False
839557,Embedded AI Architect,15-1299.08,Computer Systems Engineers/Architects,MA,335999,Y,1,151923.0,168000.0,True
631128,Expert Research Scientist,15-1221.00,Computer and Information Research Scientists,MA,5417,Y,1,154066.0,168000.0,False
150567,"Senior Product Manager - Al Platform, Monetization",15-1299.09,Information Technology Project Managers,CA,54151,Y,1,210704.0,210000.0,True
182247,Modeling and Control Engineer,17-2199.00,"Engineers, All Other",MI,33611,Y,1,97531.0,98000.0,False
536807,Backend Engineer,15-1252.00,Software Developers,CA,522320,Y,1,147368.0,168000.0,False
250228,IT Support Engineer I,15-1211.00,Computer Systems Analysts,MA,45411,Y,1,78686.0,78000.0,False
64320,Sr Member of Technical Staff,17-2199.05,Mechatronics Engineers,CA,51121,Y,1,145288.0,168000.0,False
4369,"Analytics Manager, DTC",15-2051.00,Data Scientists,NY,424210,Y,1,108306.0,148000.0,False
145416,Consultant,13-1082.00,Project Management Specialists,MA,518210,Y,1,87277.0,98000.0,False
626546,Computer Vision & Machine Learning Engineer,15-1252,Software Developers,CA,541511,Y,1,181272.0,172000.0,True
282148,Manager,11-3021.00,Computer and Information Systems Managers,CO,541611,Y,3,151362.0,145000.0,False
461562,AI Architect,15-1221.00,Computer and Information Research Scientists,MI,541840,Y,1,137987.0,168000.0,True
724445,AI Infrastructure Engineer,15-1299.08,Computer Systems Engineers/Architects,NY,518210,Y,1,128960.0,168000.0,True
710248,RL Designer,27-1021.00,Commercial and Industrial Designers,WA,51929,Y,1,118310.0,102000.0,True
170118,Principal - AI Software Engineering,11-3021.00,Computer and Information Systems Managers,DC,541611,Y,1,212950.0,210000.0,True
848543,Software Engineer,15-1252.00,Software Developers,NC,444110,Y,1,112986.0,118000.0,False
526035,Director of Engineering,15-1252.00,Software Developers,AZ,517919,Y,1,143416.0,210000.0,False
739069,Machine Learning Manager ,11-3021.00,Computer and Information Systems Managers,CA,334111,Y,1,205171.0,230000.0,True
615301,Lead Data Engineer,15-2041.00,Statisticians,TX,446110,Y,1,109429.0,148000.0,False
167842,Director Generative AI,15-1299.09,Information Technology Project Managers,IL,522210,Y,1,118186.0,245000.0,True
154150,"Backend Engineer, Machine Learning",15-1252.00,Software Developers,NY,541512,Y,1,115918.0,168000.0,True
733311,Machine Learning Engineer  ,15-1252.00,Software Developers,IA,611710,Y,1,129480.0,118000.0,True
689567,"Associate, Data Scientist Associate Sr",15-2051.00,Data Scientists,TX,551112,Y,1,114746.0,112000.0,False
275099,Sr. Capacity Demand Data Science & Analytics Engineer,15-1221.00,Computer and Information Research Scientists,GA,333922,Y,1,103813.0,143000.0,False
172239,Business Operations Analyst,15-2031.00,Operations Research Analysts,CA,334111,Y,5,107619.0,112000.0,False
109661,Software Engineer,15-1252.00,Software Developers,NC,444110,Y,1,106974.0,118000.0,False
801376,Financial Analyst - Crypto and AI,13-2051.00,Financial and Investment Analysts,CA,541511,Y,1,115939.0,142000.0,True
411056,Machine Learning Engineer,15-2031.00,Operations Research Analysts,NY,518210,Y,1,109845.0,152000.0,True
23622,Lead Data and AI Developer,15-1252.00,Software Developers,FL,541519,Y,1,138486.0,138000.0,True
380783,Autopilot Machine Learning Engineer,17-2199.05,Mechatronics Engineers,CA,336111,Y,1,164114.0,182000.0,True
435386,Cognitive Engineer Consultant,15-1299.08,Computer Systems Engineers/Architects,GA,54151,Y,1,119829.0,118000.0,True
838839,Data Science,15-2051.00,Data Scientists,TX,513210,Y,1,118518.0,132000.0,False
485100,"VP, Product",11-3021.00,Computer and Information Systems Managers,CA,52429,Y,1,274206.0,280000.0,False
26871,Senior Data Analyst,15-2031.00,Operations Research Analysts,CA,521110,Y,1,108098.0,138000.0,False
138247,AI/AppDev Associate Analytics Engineer,15-2051.01,Business Intelligence Analysts,NY,55111,Y,1,80850.0,118000.0,True
281852,Sr. Mgr. JC45 - Information Technology Project Managers,15-1299.09,Information Technology Project Managers,NC,541512,Y,1,127774.0,145000.0,False
852280,Technical Engineer III,15-1211.00,Computer Systems Analysts,MA,458110,Y,1,142147.0,118000.0,False
743338,Net Developer,15-1252.00,Software Developers,OH,5416,Y,1,96574.0,98000.0,False
545898,AI Frameworks Engineer,11-9041.00,Architectural and Engineering Managers,CA,3344,Y,1,239200.0,212000.0,True
819581,SR MACHINE LEARNING ENGINEER,15-2051.00,Data Scientists,TX,621111,Y,1,116064.0,158000.0,True
716078,Senior Algorithm Engineer,17-2141.00,Mechanical Engineers,MI,33632,Y,1,98426.0,118000.0,True
731264,Digital Engineer IV,15-1243.00,Database Architects,VA,522130,Y,1,164133.0,142000.0,False
362178,Principal AI Architect,15-1299.08,Computer Systems Engineers/Architects,UT,541511,Y,1,100235.0,230000.0,True
196638,Machine Learning Engineer,15-1252.00,Software Developers,NY,334111,Y,1,142563.0,165000.0,True
258995,"Sr. Software Engineer, AI",15-1252.00,Software Developers,FL,511210,Y,1,135221.0,158000.0,True
542131,ADAS Algorithm Engineer,17-2071.00,Electrical Engineers,MI,33611,Y,1,90355.0,112000.0,True
579658,Systems Analyst II,15-2051.01,Business Intelligence Analysts,MI,524114,Y,1,95826.0,92000.0,False
164980,Data Engineer 3,15-2051.00,Data Scientists,MA,518210,Y,1,99545.0,138000.0,False
666163,Senior Machine Learning Engineer,15-1252.00,Software Developers,NC,541990,N,1,128232.0,118000.0,True
558570,Product Analyst,15-2041.00,Statisticians,NY,51929,Y,1,136219.0,98000.0,False
480542,Machine Learning Scientist,15-1221.00,Computer and Information Research Scientists,GA,33911,Y,1,103813.0,142000.0,True
807099,Machine Learning Engineer,15-1221.00,Computer and Information Research Scientists,PA,541613,Y,1,149594.0,138000.0,True
124891,Quality Analyst,15-2051.00,Data Scientists,NY,541512,Y,1,108306.0,118000.0,False
104996,Supplier Delivery Manager,15-1299.08,Computer Systems Engineers/Architects,TX,513210,Y,1,93517.0,124000.0,False
459499,SENIOR MACHINE LEARNING ENGINEER,17-2199.00,"Engineers, All Other",CA,541511,Y,1,170539.0,195000.0,True
228953,Language Engineer I,15-1211.00,Computer Systems Analysts,MA,45411,Y,1,78686.0,112000.0,True
669698,Machine Learning Engineer,15-1252.00,Software Developers,TX,513210,Y,1,96866.0,138000.0,True
167151,"Director, Data Science",15-1221.00,Computer and Information Research Scientists,NJ,541512,Y,1,128294.0,192000.0,False
489557,Data Scientist ,15-2051.00,Data Scientists,MA,3344,Y,10,97968.0,142000.0,False
