Tech Group:
15-1200: Actual $105990, Estimated $152140, Diff $46150
15-1210: Actual $106890, Estimated $104600, Diff $-2290
15-1211: Actual $103790, Estimated $114760, Diff $10970
15-1212: Actual $124910, Estimated $114760, Diff $-10150
15-1221: Actual $140910, Estimated $141400, Diff $490
15-1230: Actual $61550, Estimated $114760, Diff $53210
15-1231: Actual $73340, Estimated $114760, Diff $41420
15-1232: Actual $60340, Estimated $114760, Diff $54420
15-1240: Actual $107480, Estimated $114760, Diff $7280
15-1241: Actual $130390, Estimated $141600, Diff $11210
15-1242: Actual $104620, Estimated $114760, Diff $10140
15-1243: Actual $135980, Estimated $114760, Diff $-21220
15-1244: Actual $96800, Estimated $114760, Diff $17960
15-1250: Actual $129320, Estimated $114760, Diff $-14560
15-1251: Actual $98670, Estimated $114760, Diff $16090
15-1252: Actual $133080, Estimated $114760, Diff $-18320
15-1253: Actual $102610, Estimated $114600, Diff $11990
15-1254: Actual $90930, Estimated $114760, Diff $23830
15-1255: Actual $98090, Estimated $114760, Diff $16670
15-1299: Actual $108970, Estimated $142600, Diff $33630
15-2000: Actual $104620, Estimated $114600, Diff $9980
15-2011: Actual $125770, Estimated $144600, Diff $18830
15-2021: Actual $121680, Estimated $114600, Diff $-7080
15-2031: Actual $91290, Estimated $104400, Diff $13110
15-2041: Actual $103300, Estimated $118100, Diff $14800
15-2051: Actual $112590, Estimated $118100, Diff $5510
15-2099: Actual $71490, Estimated $114600, Diff $43110

Other Group:
00-0000: Actual $49500, Estimated $46341.0, Diff $-3159.0
11-0000: Actual $122090, Estimated $144600, Diff $22510
11-1011: Actual $206420, Estimated $203100, Diff $-3320
11-1021: Actual $102950, Estimated $142600, Diff $39650
11-2000: Actual $144530, Estimated $156760, Diff $12230
11-2011: Actual $126960, Estimated $144600, Diff $17640
11-2020: Actual $148870, Estimated $144600, Diff $-4270
11-2021: Actual $161030, Estimated $156760, Diff $-4270
11-2022: Actual $138060, Estimated $145600, Diff $7540
11-2030: Actual $132870, Estimated $144100, Diff $11230
11-2032: Actual $138520, Estimated $144600, Diff $6080
11-2033: Actual $123480, Estimated $144600, Diff $21120
11-3000: Actual $140330, Estimated $144600, Diff $4270
11-3010: Actual $106880, Estimated $142400, Diff $35520
11-3012: Actual $108390, Estimated $144600, Diff $36210
11-3013: Actual $104690, Estimated $142400, Diff $37710
11-3021: Actual $171200, Estimated $142600, Diff $-28600
11-3031: Actual $161700, Estimated $144600, Diff $-17100
11-3051: Actual $121440, Estimated $144600, Diff $23160
11-3061: Actual $139510, Estimated $144600, Diff $5090
11-3071: Actual $102010, Estimated $144600, Diff $42590
11-3111: Actual $140360, Estimated $144600, Diff $4240
11-3121: Actual $140030, Estimated $156220, Diff $16190
11-3131: Actual $127090, Estimated $144100, Diff $17010
11-9021: Actual $106980, Estimated $148119, Diff $41139
11-9030: Actual $100650, Estimated $59600, Diff $-41050
11-9031: Actual $56270, Estimated $59600, Diff $3330
11-9032: Actual $104070, Estimated $103440, Diff $-630
11-9033: Actual $103960, Estimated $104400, Diff $440
11-9039: Actual $89040, Estimated $104400, Diff $15360
11-9041: Actual $167740, Estimated $144100, Diff $-23640
11-9070: Actual $77650, Estimated $114220, Diff $36570
11-9071: Actual $85580, Estimated $142600, Diff $57020
11-9072: Actual $77180, Estimated $104690, Diff $27510
11-9081: Actual $68130, Estimated $104400, Diff $36270
11-9111: Actual $117960, Estimated $144600, Diff $26640
11-9121: Actual $161180, Estimated $144600, Diff $-16580
11-9151: Actual $78240, Estimated $104400, Diff $26160
11-9199: Actual $136550, Estimated $144600, Diff $8050
13-0000: Actual $80920, Estimated $114600, Diff $33680
13-1020: Actual $75650, Estimated $76100, Diff $450
13-1070: Actual $74220, Estimated $58800, Diff $-15420
13-1074: Actual $48690, Estimated $24310, Diff $-24380
13-1082: Actual $100750, Estimated $114600, Diff $13850
13-1121: Actual $59440, Estimated $59400, Diff $-40
13-1131: Actual $66490, Estimated $62200, Diff $-4290
13-1141: Actual $77020, Estimated $76100, Diff $-920
13-1161: Actual $76950, Estimated $76200, Diff $-750
13-1199: Actual $81270, Estimated $76200, Diff $-5070
13-2000: Actual $82140, Estimated $114600, Diff $32460
13-2011: Actual $81680, Estimated $77800, Diff $-3880
13-2020: Actual $65420, Estimated $78400, Diff $12980
13-2041: Actual $80970, Estimated $76200, Diff $-4770
13-2050: Actual $99990, Estimated $144600, Diff $44610
13-2051: Actual $101350, Estimated $144600, Diff $43250
13-2054: Actual $106000, Estimated $124100, Diff $18100
13-2061: Actual $90400, Estimated $114600, Diff $24200
13-2070: Actual $69040, Estimated $62100, Diff $-6940
13-2071: Actual $50480, Estimated $62100, Diff $11620
13-2072: Actual $74180, Estimated $62200, Diff $-11980
13-2080: Actual $56160, Estimated $76000, Diff $19840
13-2081: Actual $59740, Estimated $76000, Diff $16260
13-2082: Actual $50560, Estimated $49340, Diff $-1220
13-2099: Actual $80190, Estimated $114600, Diff $34410
17-0000: Actual $97310, Estimated $114760, Diff $17450
17-1000: Actual $82990, Estimated $104690, Diff $21700
17-1010: Actual $94010, Estimated $144600, Diff $50590
17-1011: Actual $96690, Estimated $144600, Diff $47910
17-1012: Actual $79660, Estimated $76200, Diff $-3460
17-1020: Actual $74120, Estimated $76200, Diff $2080
17-1021: Actual $78380, Estimated $76200, Diff $-2180
17-1022: Actual $72740, Estimated $59400, Diff $-13340
17-2000: Actual $106070, Estimated $97310, Diff $-8760
17-2011: Actual $134830, Estimated $144100, Diff $9270
17-2021: Actual $84630, Estimated $105400, Diff $20770
17-2031: Actual $106950, Estimated $115600, Diff $8650
17-2041: Actual $121860, Estimated $142100, Diff $20240
17-2051: Actual $99590, Estimated $105400, Diff $5810
17-2061: Actual $155020, Estimated $141600, Diff $-13420
17-2070: Actual $118780, Estimated $141600, Diff $22820
17-2071: Actual $111910, Estimated $141600, Diff $29690
17-2072: Actual $127590, Estimated $141600, Diff $14010
17-2081: Actual $104170, Estimated $115100, Diff $10930
17-2110: Actual $101490, Estimated $104100, Diff $2610
17-2111: Actual $109660, Estimated $104100, Diff $-5560
17-2112: Actual $101140, Estimated $104100, Diff $2960
17-2121: Actual $105670, Estimated $115100, Diff $9430
17-2131: Actual $108310, Estimated $105400, Diff $-2910
17-2141: Actual $102320, Estimated $115100, Diff $12780
17-2151: Actual $101020, Estimated $142900, Diff $41880
17-2161: Actual $127520, Estimated $115100, Diff $-12420
17-2171: Actual $141280, Estimated $138100, Diff $-3180
17-2199: Actual $117750, Estimated $124100, Diff $6350
17-3000: Actual $66390, Estimated $62100, Diff $-4290
17-3010: Actual $65380, Estimated $50300, Diff $-15080
17-3011: Actual $64280, Estimated $69400, Diff $5120
17-3012: Actual $73720, Estimated $91200, Diff $17480
17-3013: Actual $68510, Estimated $62100, Diff $-6410
17-3019: Actual $62010, Estimated $64300, Diff $2290
17-3020: Actual $70070, Estimated $62100, Diff $-7970
17-3021: Actual $79830, Estimated $74300, Diff $-5530
17-3022: Actual $64200, Estimated $62100, Diff $-2100
17-3023: Actual $77180, Estimated $62100, Diff $-15080
17-3024: Actual $70760, Estimated $62100, Diff $-8660
17-3025: Actual $58890, Estimated $62100, Diff $3210
17-3026: Actual $64790, Estimated $74300, Diff $9510
17-3027: Actual $68730, Estimated $62100, Diff $-6630
17-3028: Actual $65040, Estimated $74300, Diff $9260
17-3029: Actual $77390, Estimated $72100, Diff $-5290
17-3031: Actual $51940, Estimated $56800, Diff $4860
19-0000: Actual $78980, Estimated $114600, Diff $35620
19-1000: Actual $90500, Estimated $118100, Diff $27600
19-1012: Actual $85310, Estimated $62100, Diff $-23210
19-1013: Actual $71410, Estimated $64300, Diff $-7110
19-1020: Actual $93340, Estimated $118100, Diff $24760
19-1021: Actual $103650, Estimated $144100, Diff $40450
19-1029: Actual $93330, Estimated $118100, Diff $24770
19-1040: Actual $99770, Estimated $148100, Diff $48330
19-1042: Actual $100590, Estimated $148100, Diff $47510
19-1099: Actual $87800, Estimated $118100, Diff $30300
19-2000: Actual $92750, Estimated $118760, Diff $26010
19-2010: Actual $166290, Estimated $118100, Diff $-48190
19-2011: Actual $132170, Estimated $118100, Diff $-14070
19-2012: Actual $166290, Estimated $141600, Diff $-24690
19-2021: Actual $97450, Estimated $124100, Diff $26650
19-2030: Actual $86620, Estimated $144100, Diff $57480
19-2031: Actual $84150, Estimated $142100, Diff $57950
19-2032: Actual $104160, Estimated $114600, Diff $10440
19-2040: Actual $82660, Estimated $104690, Diff $22030
19-2042: Actual $99240, Estimated $114600, Diff $15360
19-2043: Actual $92060, Estimated $103100, Diff $11040
19-2099: Actual $117960, Estimated $124100, Diff $6140
19-3011: Actual $115440, Estimated $144100, Diff $28660
19-3022: Actual $63380, Estimated $64300, Diff $920
19-3032: Actual $109840, Estimated $104100, Diff $-5740
19-3033: Actual $95830, Estimated $104100, Diff $8270
19-3051: Actual $83720, Estimated $76200, Diff $-7520
19-3090: Actual $96660, Estimated $76100, Diff $-20560
19-3092: Actual $97200, Estimated $62100, Diff $-35100
19-3093: Actual $74050, Estimated $62100, Diff $-11950
19-3094: Actual $139380, Estimated $76100, Diff $-63280
19-4000: Actual $55810, Estimated $62100, Diff $6290
19-4010: Actual $48480, Estimated $46300, Diff $-2180
19-4013: Actual $49430, Estimated $46300, Diff $-3130
19-4021: Actual $52000, Estimated $56300, Diff $4300
19-4031: Actual $57790, Estimated $56800, Diff $-990
19-4040: Actual $49690, Estimated $62100, Diff $12410
19-4042: Actual $49490, Estimated $56800, Diff $7310
19-4043: Actual $48390, Estimated $72100, Diff $23710
19-4044: Actual $58570, Estimated $62100, Diff $3530
19-4051: Actual $104240, Estimated $91200, Diff $-13040
19-4061: Actual $58040, Estimated $64300, Diff $6260
19-4071: Actual $54310, Estimated $46300, Diff $-8010
19-4090: Actual $61570, Estimated $45300, Diff $-16270
19-4099: Actual $60130, Estimated $62100, Diff $1970
19-5010: Actual $78900, Estimated $62100, Diff $-16800
19-5012: Actual $58440, Estimated $56800, Diff $-1640
21-0000: Actual $57530, Estimated $49340, Diff $-8190
21-1000: Actual $57480, Estimated $49340, Diff $-8140
21-1010: Actual $60200, Estimated $49340, Diff $-10860
21-1012: Actual $65140, Estimated $59400, Diff $-5740
21-1013: Actual $63780, Estimated $59400, Diff $-4380
21-1015: Actual $46110, Estimated $49300, Diff $3190
21-1018: Actual $59190, Estimated $49340, Diff $-9850
21-1019: Actual $49830, Estimated $59400, Diff $9570
21-1020: Actual $61330, Estimated $49340, Diff $-11990
21-1021: Actual $58570, Estimated $49340, Diff $-9230
21-1022: Actual $68090, Estimated $49340, Diff $-18750
21-1023: Actual $60060, Estimated $59400, Diff $-660
21-1029: Actual $69480, Estimated $49340, Diff $-20140
21-1090: Actual $48790, Estimated $43900, Diff $-4890
21-1091: Actual $63000, Estimated $59400, Diff $-3600
21-1092: Actual $64520, Estimated $56800, Diff $-7720
21-1093: Actual $45120, Estimated $43900, Diff $-1220
21-1094: Actual $51030, Estimated $46300, Diff $-4730
21-1099: Actual $54940, Estimated $47300, Diff $-7640
21-2000: Actual $58570, Estimated $49340, Diff $-9230
21-2011: Actual $60820, Estimated $49340, Diff $-11480
21-2099: Actual $45120, Estimated $49340, Diff $4220
23-0000: Actual $99990, Estimated $144600, Diff $44610
23-1000: Actual $144040, Estimated $208760, Diff $64720
23-1010: Actual $148600, Estimated $208760, Diff $60160
23-1011: Actual $151160, Estimated $208760, Diff $57600
23-1012: Actual $60400, Estimated $59400, Diff $-1000
23-1022: Actual $67710, Estimated $78400, Diff $10690
23-2000: Actual $60930, Estimated $62100, Diff $1170
23-2011: Actual $61010, Estimated $49400, Diff $-11610
23-2090: Actual $60550, Estimated $46300, Diff $-14250
23-2093: Actual $54980, Estimated $72300, Diff $17320
23-2099: Actual $68760, Estimated $64300, Diff $-4460
25-0000: Actual $59220, Estimated $59400, Diff $180
25-1000: Actual $81600, Estimated $84900, Diff $3300
25-1011: Actual $97270, Estimated $84900, Diff $-12370
25-1020: Actual $82390, Estimated $104100, Diff $21710
25-1021: Actual $96690, Estimated $104100, Diff $7410
25-1022: Actual $79350, Estimated $84900, Diff $5550
