Occupation (SOC code),Employment  (1),Employment percent relative standard error  (3),Hourly mean wage  (),Annual mean wage  (2),Wage percent relative standard error  (3),Hourly 10th percentile wage  (),Hourly 25th percentile wage  (),Hourly median wage  (),Hourly 75th percentile wage  (),Hourly 90th percentile wage  (),Annual 10th percentile wage  (2),Annual 25th percentile wage  (2),Annual median wage  (2),Annual 75th percentile wage  (2),Annual 90th percentile wage  (2)
All Occupations (00-0000),"()  154,187,380",()  0.0,()  $32.66,"()  $67,920",()  0.1,()  $14.42,()  $17.66,()  $23.80,()  $37.89,()  $60.44,"()  $29,990","()  $36,730","()  $49,500","()  $78,810","()  $125,720"
Management Occupations (11-0000),"()  10,966,830",()  0.2,()  $68.15,"()  $141,760",()  0.2,()  $27.41,()  $38.42,()  $58.70,()  $82.50,(5)  -,"()  $57,010","()  $79,900","()  $122,090","()  $171,610",(5)  -
Top Executives (11-1000),"()  3,822,780",()  0.3,()  $67.24,"()  $139,860",()  0.4,()  $22.84,()  $33.08,()  $50.48,()  $81.01,(5)  -,"()  $47,510","()  $68,800","()  $104,990","()  $168,490",(5)  -
Chief Executives (11-1011),"()  211,850",()  1.2,()  $126.41,"()  $262,930",()  0.9,()  $35.44,()  $60.61,()  $99.24,(5)  -,(5)  -,"()  $73,710","()  $126,080","()  $206,420",(5)  -,(5)  -
General and Operations Managers (11-1021),"()  3,584,420",()  0.4,()  $64.00,"()  $133,120",()  0.4,()  $22.80,()  $32.29,()  $49.50,()  $78.91,(5)  -,"()  $47,420","()  $67,160","()  $102,950","()  $164,130",(5)  -
Legislators (11-1031),"()  26,510",()  3.9,(4)  -,"()  $67,390",()  1.6,(4)  -,(4)  -,(4)  -,(4)  -,(4)  -,"()  $20,380","()  $29,120","()  $44,810","()  $80,350","()  $137,820"
"Advertising, Marketing, Promotions, Public Relations, and Sales Managers (11-2000)","()  1,122,770",()  0.5,()  $78.72,"()  $163,740",()  0.3,()  $35.25,()  $48.43,()  $69.48,()  $98.52,(5)  -,"()  $73,320","()  $100,740","()  $144,530","()  $204,920",(5)  -
Advertising and Promotions Managers (11-2011),"()  21,100",()  4.6,()  $71.76,"()  $149,270",()  2.3,()  $30.29,()  $41.34,()  $61.04,()  $85.85,(5)  -,"()  $63,000","()  $85,990","()  $126,960","()  $178,570",(5)  -
Marketing and Sales Managers (11-2020),"()  988,680",()  0.6,()  $79.35,"()  $165,050",()  0.3,()  $35.13,()  $48.65,()  $71.57,()  $99.24,(5)  -,"()  $73,080","()  $101,200","()  $148,870","()  $206,410",(5)  -
Marketing Managers (11-2021),"()  384,980",()  0.8,()  $82.46,"()  $171,520",()  0.6,()  $39.38,()  $53.47,()  $77.42,()  $101.48,(5)  -,"()  $81,900","()  $111,210","()  $161,030","()  $211,080",(5)  -
Sales Managers (11-2022),"()  603,710",()  0.8,()  $77.37,"()  $160,930",()  0.5,()  $32.17,()  $46.11,()  $66.38,()  $96.87,(5)  -,"()  $66,910","()  $95,910","()  $138,060","()  $201,490",(5)  -
Public Relations and Fundraising Managers (11-2030),"()  112,980",()  1.1,()  $74.49,"()  $154,950",()  0.8,()  $36.96,()  $47.69,()  $63.88,()  $87.54,(5)  -,"()  $76,870","()  $99,190","()  $132,870","()  $182,080",(5)  -
Public Relations Managers (11-2032),"()  76,060",()  1.3,()  $78.61,"()  $163,520",()  1.1,()  $37.92,()  $49.19,()  $66.60,()  $95.19,(5)  -,"()  $78,880","()  $102,300","()  $138,520","()  $198,000",(5)  -
Fundraising Managers (11-2033),"()  36,920",()  1.6,()  $66.01,"()  $137,290",()  0.8,()  $35.43,()  $44.66,()  $59.36,()  $80.01,()  $104.16,"()  $73,700","()  $92,880","()  $123,480","()  $166,420","()  $216,660"
Operations Specialties Managers (11-3000),"()  2,669,000",()  0.3,()  $77.21,"()  $160,590",()  0.2,()  $37.79,()  $49.54,()  $67.46,()  $93.98,(5)  -,"()  $78,600","()  $103,030","()  $140,330","()  $195,490",(5)  -
