model_slug,model_family,n_rows,n_ai_rows,n_other_rows,mean_actual_usd,mean_predicted_usd,mean_overestimation_usd,median_overestimation_usd,mean_overestimation_pct_points,median_overestimation_pct_points,mean_ai_overestimation_pct_points,mean_other_overestimation_pct_points,delta_ai_minus_other_pct_points,mean_ai_overestimation_usd,mean_other_overestimation_usd,delta_ai_minus_other_usd,corr_ai_confidence_overestimation_pct_points
Llama-3.1-70B-Instruct,Llama,1990,996,994,149016.67236180903,146328.89798994974,-2687.7743718592965,1227.0,3.8585741042542643,0.8432475237724036,6.588010008480738,1.1236463772828684,5.46436363119787,544.6706827309237,-5926.723340040241,6471.394022771165,0.10654643754277324
Llama-3.1-8B-Instruct,Llama,560,208,352,125476.4125,123000.81428571428,-2475.598214285714,1195.0,7.726271349520885,0.9810793120655209,9.080197104042863,6.926224312757896,2.153972791284967,-1566.0865384615386,-3013.036931818182,1446.9503933566434,0.033966831840367175
Llama-3.2-3B-Instruct,Llama,2000,1000,1000,148816.33,288994.7,140178.37,-26266.0,75.69097373837582,-23.458907168247503,109.85771424506538,41.52423323168626,68.33348101337913,198129.736,82227.004,115902.732,0.20160467693904696
Llama-3.3-70B-Instruct,Llama,2000,1000,1000,148816.33,145068.047,-3748.283,825.0,3.6359291708579273,0.6282435908678033,6.622038282383554,0.6498200593323009,5.972218223051253,-209.128,-7287.438,7078.31,0.11326556588758364
Olmo-3-7B-Instruct,Olmo,1433,679,754,155342.07466852755,106963.71249127704,-48378.36217725052,-43550.0,-26.88250442226111,-32.34954538894501,-22.83643738948603,-30.526111206417976,7.689673816931947,-43868.38438880707,-52439.73474801061,8571.350359203541,0.15003907980391012
Qwen2.5-32B-Instruct,Qwen,2000,1000,1000,148816.33,129905.4275,-18910.9025,-13868.0,-7.932701935406477,-10.166146623434193,-5.5700962486073875,-10.295307622205566,4.725211373598179,-16569.027,-21252.778,4683.751,0.10325628165323104
Qwen2.5-72B-Instruct,Qwen,2000,1000,1000,148816.33,105194.7065,-43621.6235,-38187.0,-26.303452914262227,-27.872906440855783,-24.952884176566346,-27.654021651958114,2.701137475391768,-42458.141,-44785.106,2326.9649999999965,0.07314383191897271
Qwen3-14B,Qwen,2000,1000,1000,148816.33,130095.0,-18721.33,-14506.0,-6.339261368101173,-10.398119077315672,-2.456683311042845,-10.221839425159503,7.7651561141166585,-14321.464,-23121.196,8799.732,0.13701790563614832
Qwen3-32B,Qwen,2000,1000,1000,148816.33,139529.5,-9286.83,-8786.5,-1.1473406825760122,-6.58122434602413,3.339548400805438,-5.634229765957461,8.9737781667629,-2698.464,-15875.196,13176.732,0.15429793848872853
Qwen3-8B,Qwen,1998,999,999,148803.4964964965,142264.76476476475,-6538.731731731732,-1757.0,2.144640738553397,-1.0955100150442214,4.803191293985721,-0.5139098168789279,5.317101110864649,-3868.6956956956956,-9208.767767767768,5340.072072072072,0.08901713619011148
granite-4.1-30b,Granite,2000,1000,1000,148816.33,140957.5,-7858.83,-7548.5,-0.8310163171331088,-5.25297938173969,3.0444044270324193,-4.706437061298637,7.750841488331056,-3165.464,-12552.196,9386.732,0.15372538259336763
granite-4.1-8b,Granite,1183,578,605,156633.1056635672,72645.39306846999,-83987.71259509721,-80822.0,-49.48560818170647,-53.09568480300187,-47.22910881646988,-51.641404269486216,4.412295453016334,-82168.86678200692,-85725.38677685951,3556.519994852584,0.12654818294827144
