model_slug,salary_parse_status,n_rows
Llama-3.1-70B-Instruct,no_number,10
Llama-3.1-70B-Instruct,ok,1990
Llama-3.1-8B-Instruct,malformed,1332
Llama-3.1-8B-Instruct,no_number,108
Llama-3.1-8B-Instruct,ok,560
Llama-3.2-3B-Instruct,ok,2000
Llama-3.3-70B-Instruct,ok,2000
Mistral-Small-3.1-24B-Instruct-2503,no_number,2000
Olmo-3-7B-Instruct,malformed,7
Olmo-3-7B-Instruct,multiple_numbers_or_range,230
Olmo-3-7B-Instruct,no_number,330
Olmo-3-7B-Instruct,ok,1433
Qwen2.5-32B-Instruct,ok,2000
Qwen2.5-72B-Instruct,ok,2000
Qwen3-14B,ok,2000
Qwen3-32B,ok,2000
Qwen3-8B,ok,1998
Qwen3-8B,out_of_plausible_range,2
granite-4.1-30b,ok,2000
granite-4.1-8b,malformed,439
granite-4.1-8b,multiple_numbers_or_range,198
granite-4.1-8b,no_number,180
granite-4.1-8b,ok,1183
