model_slug,model_family,BLOCK_ID,n_ai_rows,n_other_rows,mean_ai_overestimation_pct_points,mean_other_overestimation_pct_points,delta_pct_points_ai_minus_other,mean_ai_overestimation_usd,mean_other_overestimation_usd,delta_usd_ai_minus_other
Llama-3.1-70B-Instruct,Llama,11-3021.00||AZ||52||Y||II,1,1,1.311380172725276,-9.315687677560591,10.627067850285867,1851.0,-13149.0,15000.0
Llama-3.1-70B-Instruct,Llama,11-3021.00||CA||33||Y||II,5,5,-28.36298251601507,-13.737445606162627,-14.625536909852443,-69232.4,-31908.0,-37324.399999999994
Llama-3.1-70B-Instruct,Llama,11-3021.00||CA||45||Y||II,6,6,-18.9686303532571,-25.533782460008727,6.565152106751626,-45656.333333333336,-63335.5,17679.166666666664
Llama-3.1-70B-Instruct,Llama,11-3021.00||CA||51||Y||II,1,1,-13.63128045371036,-13.890506552783128,0.2592260990727677,-27304.0,-27907.0,603.0
Llama-3.1-70B-Instruct,Llama,11-3021.00||CA||51||Y||III,2,2,-13.202807247849755,-19.85089321025572,6.648085962405965,-28826.0,-47182.0,18356.0
Llama-3.1-70B-Instruct,Llama,11-3021.00||CA||51||Y||IV,1,1,-24.213717317165592,-24.213717317165592,0.0,-66456.0,-66456.0,0.0
Llama-3.1-70B-Instruct,Llama,11-3021.00||CA||52||Y||II,1,1,-13.890506552783128,-20.125582898564108,6.23507634578098,-27907.0,-43590.0,15683.0
Llama-3.1-70B-Instruct,Llama,11-3021.00||CA||54||Y||I,1,1,26.726496195158806,-3.0844901571935956,29.8109863523524,43867.0,-5506.0,49373.0
Llama-3.1-70B-Instruct,Llama,11-3021.00||CA||54||Y||II,1,1,4.977002148084321,-30.42233242037781,35.39933456846213,8202.0,-75643.0,83845.0
Llama-3.1-70B-Instruct,Llama,11-3021.00||CA||54||Y||IV,2,2,-24.213717317165592,-14.388044640593694,-9.825672676571898,-66456.0,-42678.5,-23777.5
Llama-3.1-70B-Instruct,Llama,11-3021.00||CT||54||Y||IV,1,1,-11.044837515425751,-12.862630034675913,1.8177925192501618,-21480.0,-24111.0,2631.0
Llama-3.1-70B-Instruct,Llama,11-3021.00||FL||44||Y||IV,1,1,-16.53479485892933,-31.709758927010665,15.174964068081334,-34272.0,-59862.0,25590.0
Llama-3.1-70B-Instruct,Llama,11-3021.00||GA||42||Y||IV,1,1,-15.876099964801126,-23.970432946145724,8.094332981344598,-33828.0,-51075.0,17247.0
