BLOCK_ID,n_ai_rows,n_other_rows,mean_ai_overestimation_pct_points,mean_other_overestimation_pct_points,delta_pct_points_ai_minus_other,median_ai_overestimation_pct_points,median_other_overestimation_pct_points,mean_ai_overestimation_usd,mean_other_overestimation_usd,delta_usd_ai_minus_other,mean_ai_confidence,mean_other_confidence,harmonic_weight
11-3021.00||AZ||52||Y||II,1,1,-11.697489099383551,-19.969033368348985,8.271544268965433,-11.697489099383551,-19.969033368348985,-16510.88888888889,-28186.090909090908,11675.202020202018,0.85,0.05,0.5
11-3021.00||CA||33||Y||II,5,5,-6.2908237768153725,-10.022873454156736,3.7320496773413634,-11.422762756240877,-15.45340837337797,-16245.52181818182,-18658.600000000002,2413.078181818182,0.93,0.1,2.5
11-3021.00||CA||45||Y||II,6,6,-12.595315542173763,-18.13821391942498,5.542898377251218,-16.185466447592425,-15.873872470679943,-37945.45151515151,-48677.19393939394,10731.742424242431,0.8833333333333333,0.11666666666666665,3.0
11-3021.00||CA||51||Y||II,1,1,26.707404744787926,16.698047083747934,10.009357661039992,26.707404744787926,16.698047083747934,53496.0,33547.545454545456,19948.454545454544,0.95,0.1,0.5
11-3021.00||CA||51||Y||III,2,2,6.244642435380641,-6.566476139624294,12.811118575004935,6.244642435380641,-6.566476139624294,14225.94090909091,-15607.331818181818,29833.272727272728,0.8999999999999999,0.1,1.0
11-3021.00||CA||51||Y||IV,1,1,-15.572590539434042,-0.8781735505873425,-14.6944169888467,-15.572590539434042,-0.8781735505873425,-42739.90909090909,-2410.2,-40329.70909090909,0.85,0.1,0.5
11-3021.00||CA||52||Y||II,1,1,16.16553927936807,2.262846853502006,13.902692425866062,16.16553927936807,2.262846853502006,32477.7,4901.1,27576.6,0.95,0.15,0.5
11-3021.00||CA||54||Y||I,1,1,48.76222885763929,-18.58633730671645,67.34856616435574,48.76222885763929,-18.58633730671645,80034.90909090909,-33177.72727272727,113212.63636363635,0.85,0.1,0.5
11-3021.00||CA||54||Y||II,1,1,24.28907915549137,-3.8782511472271497,28.16733030271852,24.28907915549137,-3.8782511472271497,40027.916666666664,-9643.0,49670.916666666664,0.85,0.1,0.5
11-3021.00||CA||54||Y||IV,2,2,-12.013328183752588,9.388449600314342,-21.40177778406693,-12.013328183752588,9.388449600314342,-32971.3,8914.13636363636,-41885.43636363636,0.8999999999999999,0.1,1.0
