model_slug,model_family,n_rows,n_unique_rows,parse_ok_rows,parse_ok_rate,missing_prediction_rows
Llama-3.1-70B-Instruct,Llama,2000,2000,1990,0.995,10
Llama-3.1-8B-Instruct,Llama,2000,2000,560,0.28,1440
Llama-3.2-3B-Instruct,Llama,2000,2000,2000,1.0,0
Llama-3.3-70B-Instruct,Llama,2000,2000,2000,1.0,0
Mistral-Small-3.1-24B-Instruct-2503,Mistral,2000,2000,0,0.0,2000
Olmo-3-7B-Instruct,Olmo,2000,2000,1433,0.7165,567
Qwen2.5-32B-Instruct,Qwen,2000,2000,2000,1.0,0
Qwen2.5-72B-Instruct,Qwen,2000,2000,2000,1.0,0
Qwen3-14B,Qwen,2000,2000,2000,1.0,0
Qwen3-32B,Qwen,2000,2000,2000,1.0,0
Qwen3-8B,Qwen,2000,2000,1998,0.999,2
granite-4.1-30b,Granite,2000,2000,2000,1.0,0
granite-4.1-8b,Granite,2000,2000,1183,0.5915,817
